#,INSTITUCION,TIPO DE ÓRGANO COLEGIADO,FECHA DE LA SESIÓN,ORDINARIA/EXTRAORDINARIA,Responsable,Año,ÓC
145,COLPOS,COCODI,29/04/2025,ORDINARIA,Esperanza,2025,COCODI
146,INCA_RURAL,COCODI,29/04/2025,ORDINARIA,Esperanza,2025,COCODI
147,TGM,COCODI,29/04/2025,ORDINARIA,Esperanza,2025,COCODI
148,IMER,COCODI,29/04/2025,ORDINARIA,Esperanza,2025,COCODI
149,IMIPAS,JUNTA DE GOBIERNO,29/04/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
150,IMSS,ASAMBLEA GENERAL,30/04/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
151,DIF,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
152,CONANP,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
153,INBAL,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
154,Televisión_Metropolitana,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
155,INEHRM,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
156,INAI,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
157,SEDATU,COCODI,30/04/2025,ORDINARIA,Tania,2025,COCODI
158,CONAFOR,COCODI,06/05/2025,ORDINARIA,Esperanza,2025,COCODI
159,FONART,COCODI,06/05/2025,ORDINARIA,Esperanza,2025,COCODI
160,FIDEMAR,COMITÉ TÉCNICO,06/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
161,INALI,COCODI,06/05/2025,ORDINARIA,Esperanza,2025,COCODI
162,SEGALMEX,COCODI,06/05/2025,ORDINARIA,Esperanza,2025,COCODI
163,DICONSA,COCODI,06/05/2025,ORDINARIA,Esperanza,2025,COCODI
164,LICONSA,COCODI,06/05/2025,ORDINARIA,Esperanza,2025,COCODI
165,SEMARNAT,COCODI,06/05/2025,ORDINARIA,Tania,2025,COCODI
166,SADER,COCODI,06/05/2025,ORDINARIA,Tania,2025,COCODI
167,SENASICA,COCODI,06/05/2025,ORDINARIA,Tania,2025,COCODI
168,CONAPO,COCODI,07/05/2025,ORDINARIA,Esperanza,2025,COCODI
169,PROFEPA,COCODI,07/05/2025,ORDINARIA,Tania,2025,COCODI
170,INIFAP,COCODI,08/05/2025,ORDINARIA,Esperanza,2025,COCODI
171,FIRCO,COCODI,08/05/2025,ORDINARIA,Esperanza,2025,COCODI
172,IMCINE,COCODI,08/05/2025,ORDINARIA,Esperanza,2025,COCODI
173,CONADESUCA,COCODI,08/05/2025,ORDINARIA,Tania,2025,COCODI
174,CONAPESCA,COCODI,09/05/2025,ORDINARIA,Tania,2025,COCODI
175,SNICS,COCODI,09/05/2025,ORDINARIA,Tania,2025,COCODI
176,INAPESCA,COCODI,13/05/2025,ORDINARIA,Esperanza,2025,COCODI
177,CEAV,COCODI,13/05/2025,ORDINARIA,Esperanza,2025,COCODI
178,INECC,COCODI,13/05/2025,ORDINARIA,Tania,2025,COCODI
179,SIAP,COCODI,13/05/2025,ORDINARIA,Tania,2025,COCODI
180,CSAEGRO,COCODI,15/05/2025,ORDINARIA,Tania,2025,COCODI
181,BIENESTAR,COCODI,15/05/2025,ORDINARIA,Tania,2025,COCODI
182,CONEVAL,COCODI,16/05/2025,ORDINARIA,Tania,2025,COCODI
183,PRONABIVE,COCODI,20/05/2025,ORDINARIA,Tania,2025,COCODI
184,ASEA,COCODI,20/05/2025,ORDINARIA,Tania,2025,COCODI
185,SEGOB,COCODI,21/05/2025,ORDINARIA,Tania,2025,COCODI
186,SCT,COCODI,21/05/2025,ORDINARIA,Tania,2025,COCODI
187,IMER,CONSEJO DIRECTIVO,22/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
188,SHCP,COCODI,22/05/2025,ORDINARIA,Tania,2025,COCODI
189,SFP,COCODI,22/05/2025,ORDINARIA,Tania,2025,COCODI
190,STPS,COCODI,22/05/2025,ORDINARIA,Tania,2025,COCODI
191,SECTUR,COCODI,22/05/2025,ORDINARIA,Tania,2025,COCODI
192,SRE,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
193,SALUD,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
194,SEDENA,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
195,SEMAR,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
196,ECONOMIA,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
197,CULTURA,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
198,EDUCACIÓN,COCODI,23/05/2025,ORDINARIA,Tania,2025,COCODI
199,IMIPAS,JUNTA DE GOBIERNO,26/05/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
200,LICONSA,CONSEJO DE ADMINISTRACIÓN,26/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
201,DICONSA,CONSEJO DE ADMINISTRACIÓN,26/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
202,CONAVI,JUNTA DE GOBIERNO,27/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
203,INAPAM,JUNTA DE GOBIERNO,27/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
204,CONADIS,JUNTA DE GOBIERNO,28/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
205,IMSS-BIENESTAR,JUNTA DE GOBIERNO,28/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
206,INSUS,JUNTA DE GOBIERNO,28/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
207,ISSSTE,JUNTA DIRECTIVA,28/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
208,CIJ,JUNTA DE GOBIERNO,29/05/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
209,CONSAR,JUNTA DE GOBIERNO,29/05/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
210,INFONACOT,CONSEJO DIRECTIVO,29/05/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
211,FOVISSSTE,JUNTA DIRECTIVA,29/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
212,SEGALMEX,CONSEJO DE ADMINISTRACIÓN,30/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
213,TURISSSTE,JUNTA DIRECTIVA,30/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
214,SUPERISSSTE,JUNTA DIRECTIVA,30/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
215,PENSIONISSSTE,COMISIÓN EJECUTIVA,30/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
216,Fovim,COMITÉ DE CRÉDITO,30/05/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
217,CNSF,JUNTA DE GOBIERNO,30/05/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
218,CNBV,JUNTA DE GOBIERNO,30/05/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
219,CONAZA,CONSEJO DIRECTIVO,11/06/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
220,SNICS,CONSEJO TÉCNICO,17/06/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
221,INCA_RURAL,JUNTA DIRECTIVA,20/06/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
222,CONADESUCA,JUNTA DIRECTIVA,24/06/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
223,IMER,CONSEJO DIRECTIVO,26/06/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
224,IMIPAS,JUNTA DE GOBIERNO,26/06/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
225,FIRCO,COMITÉ TÉCNICO,27/06/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
226,FIDEMAR,COMITÉ TÉCNICO,27/06/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
227,CONAZA,COCODI,29/07/2025,ORDINARIA,Esperanza,2025,COCODI
228,IMIPAS,JUNTA DE GOBIERNO,31/07/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
229,CONAZA,COCODI,01/08/2025,ORDINARIA,Esperanza,2025,COCODI
230,DICONSA,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
231,FIRCO,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
232,FONART,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
233,INCA_RURAL,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
234,IMER,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
235,INIFAP,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
236,LICONSA,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
237,SEGALMEX,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
238,TGM,COCODI,04/08/2025,ORDINARIA,Esperanza,2025,COCODI
239,COLPOS,COCODI,05/08/2025,ORDINARIA,Esperanza,2025,COCODI
240,CONAFOR,COCODI,05/08/2025,ORDINARIA,Esperanza,2025,COCODI
241,INAPESCA,COCODI,05/08/2025,ORDINARIA,Esperanza,2025,COCODI
242,INALI,COCODI,05/08/2025,ORDINARIA,Esperanza,2025,COCODI
243,CONAPO,COCODI,06/08/2025,ORDINARIA,Esperanza,2025,COCODI
244,CEAV,COCODI,06/08/2025,ORDINARIA,Esperanza,2025,COCODI
245,FIDEMAR,COMITÉ TÉCNICO,06/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
246,IMCINE,COCODI,07/08/2025,ORDINARIA,Esperanza,2025,COCODI
247,PROFEPA,COCODI,07/08/2025,ORDINARIA,Tania,2025,COCODI
248,SADER,COCODI,08/08/2025,ORDINARIA,Tania,2025,COCODI
249,SEMARNAT,COCODI,08/08/2025,ORDINARIA,Tania,2025,COCODI
250,CONANP,COCODI,11/08/2025,ORDINARIA,Tania,2025,COCODI
251,CSAEGRO,COCODI,11/08/2025,ORDINARIA,Tania,2025,COCODI
252,CONAPESCA,COCODI,11/08/2025,ORDINARIA,Tania,2025,COCODI
253,CONADESUCA,COCODI,11/08/2025,ORDINARIA,Tania,2025,COCODI
254,INECC,COCODI,12/08/2025,ORDINARIA,Tania,2025,COCODI
255,PRONABIVE,COCODI,12/08/2025,ORDINARIA,Tania,2025,COCODI
256,SENASICA,COCODI,12/08/2025,ORDINARIA,Tania,2025,COCODI
257,SIAP,COCODI,12/08/2025,ORDINARIA,Tania,2025,COCODI
258,SNICS,COCODI,12/08/2025,ORDINARIA,Tania,2025,COCODI
259,ASEA,COCODI,13/08/2025,ORDINARIA,Tania,2025,COCODI
260,INBAL,COCODI,13/08/2025,ORDINARIA,Tania,2025,COCODI
261,INEHRM,COCODI,13/08/2025,ORDINARIA,Tania,2025,COCODI
262,Televisión_Metropolitana,COCODI,13/08/2025,ORDINARIA,Tania,2025,COCODI
263,BIENESTAR,COCODI,14/08/2025,ORDINARIA,Tania,2025,COCODI
264,DIF,COCODI,14/08/2025,ORDINARIA,Tania,2025,COCODI
265,SEGOB,COCODI,14/08/2025,ORDINARIA,Tania,2025,COCODI
266,SCT,COCODI,14/08/2025,ORDINARIA,Tania,2025,COCODI
267,CONEVAL,COCODI,15/08/2025,ORDINARIA,Tania,2025,COCODI
268,INAI,COCODI,15/08/2025,ORDINARIA,Tania,2025,COCODI
269,SEDATU,COCODI,15/08/2025,ORDINARIA,Tania,2025,COCODI
270,SECTUR,COCODI,15/08/2025,ORDINARIA,Tania,2025,COCODI
271,SHCP,COCODI,18/08/2025,ORDINARIA,Tania,2025,COCODI
272,SFP,COCODI,18/08/2025,ORDINARIA,Tania,2025,COCODI
273,STPS,COCODI,18/08/2025,ORDINARIA,Tania,2025,COCODI
274,SRE,COCODI,18/08/2025,ORDINARIA,Tania,2025,COCODI
275,SALUD,COCODI,19/08/2025,ORDINARIA,Tania,2025,COCODI
276,SEDENA,COCODI,19/08/2025,ORDINARIA,Tania,2025,COCODI
277,SEMAR,COCODI,19/08/2025,ORDINARIA,Tania,2025,COCODI
278,ECONOMIA,COCODI,20/08/2025,ORDINARIA,Tania,2025,COCODI
279,CULTURA,COCODI,20/08/2025,ORDINARIA,Tania,2025,COCODI
280,EDUCACIÓN,COCODI,20/08/2025,ORDINARIA,Tania,2025,COCODI
281,LICONSA,CONSEJO DE ADMINISTRACIÓN,25/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
282,DICONSA,CONSEJO DE ADMINISTRACIÓN,25/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
283,CONAVI,JUNTA DE GOBIERNO,26/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
284,INAPAM,JUNTA DE GOBIERNO,26/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
285,CONADIS,JUNTA DE GOBIERNO,27/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
286,IMSS-BIENESTAR,JUNTA DE GOBIERNO,27/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
287,INSUS,JUNTA DE GOBIERNO,27/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
288,ISSSTE,JUNTA DIRECTIVA,27/08/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
289,CIJ,JUNTA DE GOBIERNO,28/08/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
290,CONSAR,JUNTA DE GOBIERNO,28/08/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
