#,INSTITUCION,TIPO DE ÓRGANO COLEGIADO,FECHA DE LA SESIÓN,ORDINARIA/EXTRAORDINARIA,Responsable,Año,ÓC
356,SALUD,COCODI,21/11/2025,ORDINARIA,Tania,2025,COCODI
357,SEDENA,COCODI,21/11/2025,ORDINARIA,Tania,2025,COCODI
358,SEMAR,COCODI,21/11/2025,ORDINARIA,Tania,2025,COCODI
359,ECONOMIA,COCODI,21/11/2025,ORDINARIA,Tania,2025,COCODI
360,CULTURA,COCODI,21/11/2025,ORDINARIA,Tania,2025,COCODI
361,EDUCACIÓN,COCODI,21/11/2025,ORDINARIA,Tania,2025,COCODI
362,LICONSA,CONSEJO DE ADMINISTRACIÓN,24/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
363,DICONSA,CONSEJO DE ADMINISTRACIÓN,24/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
364,CONAVI,JUNTA DE GOBIERNO,25/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
365,INAPAM,JUNTA DE GOBIERNO,25/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
366,CONADIS,JUNTA DE GOBIERNO,26/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
367,IMSS-BIENESTAR,JUNTA DE GOBIERNO,26/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
368,INSUS,JUNTA DE GOBIERNO,26/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
369,ISSSTE,JUNTA DIRECTIVA,26/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
370,CIJ,JUNTA DE GOBIERNO,27/11/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
371,CONSAR,JUNTA DE GOBIERNO,27/11/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
372,INFONACOT,CONSEJO DIRECTIVO,27/11/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
373,FOVISSSTE,JUNTA DIRECTIVA,27/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
374,SEGALMEX,CONSEJO DE ADMINISTRACIÓN,28/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
375,TURISSSTE,JUNTA DIRECTIVA,28/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
376,SUPERISSSTE,JUNTA DIRECTIVA,28/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
377,PENSIONISSSTE,COMISIÓN EJECUTIVA,28/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
378,Fovim,COMITÉ DE CRÉDITO,28/11/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
379,CNSF,JUNTA DE GOBIERNO,28/11/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
380,CNBV,JUNTA DE GOBIERNO,28/11/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
381,CONAZA,CONSEJO DIRECTIVO,10/12/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
382,IMER,CONSEJO DIRECTIVO,11/12/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
383,FIRCO,COMITÉ TÉCNICO,12/12/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
384,IMIPAS,JUNTA DE GOBIERNO,12/12/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
385,FIDEMAR,COMITÉ TÉCNICO,12/12/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
386,SNICS,CONSEJO TÉCNICO,16/12/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
387,INCA_RURAL,JUNTA DIRECTIVA,19/12/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
388,CONADESUCA,JUNTA DIRECTIVA,23/12/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
389,INAPESCA,CONSEJO TÉCNICO,15/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
390,INAPESCA,CONSEJO TÉCNICO,16/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
391,INAPESCA,CONSEJO TÉCNICO,17/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
392,INAPESCA,CONSEJO TÉCNICO,18/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
393,INAPESCA,CONSEJO TÉCNICO,19/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
394,INAPESCA,CONSEJO TÉCNICO,20/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
395,INAPESCA,CONSEJO TÉCNICO,21/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
396,INAPESCA,CONSEJO TÉCNICO,22/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
397,INAPESCA,CONSEJO TÉCNICO,23/12/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
